position,name,type,isnumeric,format,vallab,varlab
55,corr_5mblwel5mblanx,float,1,%9.0g,,
56,corr_5mblwel6mblanx,float,1,%9.0g,,
57,corr_6mblwelpibldis,float,1,%9.0g,,
58,corr_6mblwel5mbldis,float,1,%9.0g,,
59,corr_6mblwel6mbldis,float,1,%9.0g,,
60,corr_6mblwelpiblwel,float,1,%9.0g,,
61,corr_6mblwel5mblwel,float,1,%9.0g,,
62,corr_6mblwelpibldep,float,1,%9.0g,,
63,corr_6mblwel5mbldep,float,1,%9.0g,,
64,corr_6mblwel6mbldep,float,1,%9.0g,,
65,corr_6mblwelpiblanx,float,1,%9.0g,,
66,corr_6mblwel5mblanx,float,1,%9.0g,,
67,corr_6mblwel6mblanx,float,1,%9.0g,,
68,corr_pibldeppibldis,float,1,%9.0g,,
69,corr_pibldep5mbldis,float,1,%9.0g,,
70,corr_pibldep6mbldis,float,1,%9.0g,,
71,corr_pibldeppiblwel,float,1,%9.0g,,
72,corr_pibldep5mblwel,float,1,%9.0g,,
73,corr_pibldep6mblwel,float,1,%9.0g,,
74,corr_pibldep5mbldep,float,1,%9.0g,,
75,corr_pibldep6mbldep,float,1,%9.0g,,
76,corr_pibldeppiblanx,float,1,%9.0g,,
77,corr_pibldep5mblanx,float,1,%9.0g,,
78,corr_pibldep6mblanx,float,1,%9.0g,,
79,corr_5mbldeppibldis,float,1,%9.0g,,
80,corr_5mbldep5mbldis,float,1,%9.0g,,
81,corr_5mbldep6mbldis,float,1,%9.0g,,
82,corr_5mbldeppiblwel,float,1,%9.0g,,
83,corr_5mbldep5mblwel,float,1,%9.0g,,
84,corr_5mbldep6mblwel,float,1,%9.0g,,
85,corr_5mbldeppibldep,float,1,%9.0g,,
86,corr_5mbldep6mbldep,float,1,%9.0g,,
87,corr_5mbldeppiblanx,float,1,%9.0g,,
88,corr_5mbldep5mblanx,float,1,%9.0g,,
89,corr_5mbldep6mblanx,float,1,%9.0g,,
90,corr_6mbldeppibldis,float,1,%9.0g,,
91,corr_6mbldep5mbldis,float,1,%9.0g,,
92,corr_6mbldep6mbldis,float,1,%9.0g,,
93,corr_6mbldeppiblwel,float,1,%9.0g,,
94,corr_6mbldep5mblwel,float,1,%9.0g,,
95,corr_6mbldep6mblwel,float,1,%9.0g,,
96,corr_6mbldeppibldep,float,1,%9.0g,,
97,corr_6mbldep5mbldep,float,1,%9.0g,,
98,corr_6mbldeppiblanx,float,1,%9.0g,,
99,corr_6mbldep5mblanx,float,1,%9.0g,,
100,corr_6mbldep6mblanx,float,1,%9.0g,,
101,corr_piblanxpibldis,float,1,%9.0g,,
102,corr_piblanx5mbldis,float,1,%9.0g,,
103,corr_piblanx6mbldis,float,1,%9.0g,,
104,corr_piblanxpiblwel,float,1,%9.0g,,
105,corr_piblanx5mblwel,float,1,%9.0g,,
106,corr_piblanx6mblwel,float,1,%9.0g,,
107,corr_piblanxpibldep,float,1,%9.0g,,
108,corr_piblanx5mbldep,float,1,%9.0g,,
109,corr_piblanx6mbldep,float,1,%9.0g,,
110,corr_piblanx5mblanx,float,1,%9.0g,,
111,corr_piblanx6mblanx,float,1,%9.0g,,
112,corr_5mblanxpibldis,float,1,%9.0g,,
113,corr_5mblanx5mbldis,float,1,%9.0g,,
114,corr_5mblanx6mbldis,float,1,%9.0g,,
115,corr_5mblanxpiblwel,float,1,%9.0g,,
116,corr_5mblanx5mblwel,float,1,%9.0g,,
117,corr_5mblanx6mblwel,float,1,%9.0g,,
118,corr_5mblanxpibldep,float,1,%9.0g,,
119,corr_5mblanx5mbldep,float,1,%9.0g,,
120,corr_5mblanx6mbldep,float,1,%9.0g,,
121,corr_5mblanxpiblanx,float,1,%9.0g,,
122,corr_5mblanx6mblanx,float,1,%9.0g,,
123,corr_6mblanxpibldis,float,1,%9.0g,,
124,corr_6mblanx5mbldis,float,1,%9.0g,,
125,corr_6mblanx6mbldis,float,1,%9.0g,,
126,corr_6mblanxpiblwel,float,1,%9.0g,,
127,corr_6mblanx5mblwel,float,1,%9.0g,,
128,corr_6mblanx6mblwel,float,1,%9.0g,,
129,corr_6mblanxpibldep,float,1,%9.0g,,
130,corr_6mblanx5mbldep,float,1,%9.0g,,
131,corr_6mblanx6mbldep,float,1,%9.0g,,
132,corr_6mblanxpiblanx,float,1,%9.0g,,
133,corr_6mblanx5mblanx,float,1,%9.0g,,
